;C_p_expect (J/mol/K);N_eff;Vol_expect (mL/mol);dC_p_expect (J/mol/K);dVol_expect (mL/mol);epsilon values;rmin_half values
136;90.9705893298;1996.0;109.326523237;2.88730150309;9.52239854677;0.1094;1.908
137;87.5892118656;75.6087073373;111.358950685;10.9312908455;54.0366639359;0.1022;1.914
138;91.6583040392;75.6557896346;111.336188809;11.5213076304;57.016139467;0.1022;1.916
139;95.459100457;70.6941609289;111.317361319;11.7633491196;60.9903938324;0.1022;1.918
140;98.8938645002;55.0877357542;111.312143537;11.5161948152;70.3599014807;0.1022;1.92
141;94.1742229268;160.748946504;111.050239366;8.83860003851;42.456016843;0.1034;1.914
142;97.7696268681;160.944348217;111.008358707;9.06732004371;44.9100314795;0.1034;1.916
143;101.243453408;136.163299977;110.974157221;9.0945719524;51.6331993159;0.1034;1.918
144;104.837013508;88.2178453852;110.956878343;8.90737737239;67.8527264723;0.1034;1.92
145;97.5233061245;358.07623021;110.689401064;6.96145591544;30.9367209257;0.1046;1.914
146;100.153955637;339.401816399;110.628886627;7.14222309438;34.2457010443;0.1046;1.916
147;103.007339667;255.422897498;110.576343153;7.55336756549;43.7566690738;0.1046;1.918
148;106.544164989;152.318315359;110.537777417;8.51357350627;62.3662621754;0.1046;1.92
149;97.5069081141;743.872539591;110.288107654;5.37649567454;21.7401199985;0.1058;1.914
150;99.0824655416;658.895300109;110.209877067;5.71966653399;25.7695589862;0.1058;1.916
151;101.099518937;478.557725123;110.13652452;6.67566313145;34.8510023819;0.1058;1.918
152;103.89223171;297.248173354;110.070474562;8.56591539466;49.6888269638;0.1058;1.92
153;90.9705893319;1996.0;109.326523237;2.88730150319;9.52239854678;0.1094;1.908
154;40.5290035275;7.56414620945;111.099003509;8.90329363573;76.5998964858;0.1058;1.887
155;45.0276201843;10.0196235539;111.052834836;8.92378318233;72.6235832827;0.1058;1.88933333333
156;50.2343901252;14.0305609354;111.002182386;8.86018215099;66.9730215687;0.1058;1.89166666667
157;56.1269731915;20.9567673455;110.947243321;8.63318528613;59.7791811799;0.1058;1.894
158;45.7141894569;13.5822543495;110.874444705;7.88445319888;78.4855966326;0.107;1.887
159;50.8445748913;19.1288577061;110.813453977;7.94181107567;70.8971171441;0.107;1.88933333333
160;56.7068281989;28.5845029175;110.747294717;7.8287847962;62.0815314984;0.107;1.89166666667
161;63.1495305024;45.5516527105;110.676071797;7.47637606652;52.5118108829;0.107;1.894
162;51.7586766929;26.3123060899;110.605654513;7.18449377078;68.491486905;0.1082;1.887
163;57.6426505766;39.05699958;110.530227954;7.11838709879;58.9779844616;0.1082;1.88933333333
164;64.0576040984;61.4114223994;110.448939638;6.80830414085;49.2235671524;0.1082;1.89166666667
165;70.6598779316;102.183367917;110.361855526;6.2700519657;39.7835477696;0.1082;1.894
166;58.8732587175;49.3535438287;110.3041279;6.65131208837;52.0266512539;0.1094;1.887
167;65.207168299;75.8892256753;110.214125188;6.33092019166;43.2931044498;0.1094;1.88933333333
168;71.5834644675;122.793235391;110.11768993;5.82552803592;35.0949754372;0.1094;1.89166666667
169;77.5361400363;207.354295037;110.015238803;5.22510011214;27.7921805203;0.1094;1.894
170;90.9705893282;1996.0;109.326523237;2.88730150301;9.52239854677;0.1094;1.908
171;88.9637676683;993.200336688;109.68023804;3.65350502503;13.5130003882;0.1094;1.901
172;90.3248191438;1449.98809458;109.563090168;3.28552257752;11.2582152529;0.1094;1.90333333333
173;90.8685561558;1840.55664499;109.444931783;3.01646512542;9.97060719081;0.1094;1.90566666667
174;90.9705892294;1996.0;109.326523237;2.88730149309;9.52239857113;0.1094;1.908
175;89.163997021;1306.74799457;109.328879258;3.27923617116;11.3998499454;0.110466666667;1.901
176;89.7835005041;1678.21016364;109.20777874;3.02168104249;10.2358905281;0.110466666667;1.90333333333
177;90.0448016386;1847.43115439;109.08781214;2.92447839283;9.94411563536;0.110466666667;1.90566666667
178;90.1506041171;1730.14556744;108.969806364;3.01767148876;10.4571907117;0.110466666667;1.908
179;88.7676218154;1332.99141219;108.979769256;3.27202277259;11.6274469663;0.111533333333;1.901
180;89.340152945;1477.54679436;108.857526171;3.25292074156;11.6712038941;0.111533333333;1.90333333333
181;89.7724914272;1401.36894732;108.738597036;3.43232522806;12.597027592;0.111533333333;1.90566666667
182;90.0153658628;1148.19878785;108.62454809;3.77651007811;14.2308596965;0.111533333333;1.908
183;88.763686428;1041.17231466;108.636265809;3.93640804453;15.0523169644;0.1126;1.901
184;89.6383377828;980.401110194;108.514337173;4.31018356593;16.9191123628;0.1126;1.90333333333
185;90.2332791633;809.404963276;108.398726116;4.80958992483;19.4281059544;0.1126;1.90566666667
186;90.3291315023;608.872537814;108.292212159;5.31919542037;22.0809637865;0.1126;1.908
187;90.970589329;1996.0;109.326523237;2.88730150304;9.52239854677;0.1094;1.908
188;56.1269727432;20.956767282;110.94724332;8.63318525193;59.7791812768;0.1058;1.894
189;62.5794728259;33.5781294981;110.888278309;8.18599677188;51.5142898856;0.1058;1.89633333333
190;69.3337916858;57.5602029567;110.825375822;7.52464994799;43.0050953767;0.1058;1.89866666667
191;76.0084157034;103.539787785;110.758262553;6.75125248009;35.2800870167;0.1058;1.901
192;63.149530225;45.5516526879;110.676071793;7.47637606287;52.5118110294;0.107;1.894
193;69.8727375287;77.3149118849;110.599866495;6.88322913702;42.900295811;0.107;1.89633333333
194;76.4388004505;137.91146901;110.518613697;6.14217760796;34.0853724342;0.107;1.89866666667
195;82.3502118933;250.318030762;110.432109759;5.41534063394;26.815809965;0.107;1.901
196;70.6598775916;102.183369009;110.361855519;6.27005193192;39.7835477583;0.1082;1.894
197;76.983248818;178.094776374;110.269118491;5.59846921913;31.2601374683;0.1082;1.89633333333
198;82.5231725783;317.302640309;110.170966657;4.92931001096;24.16822143;0.1082;1.89866666667
199;86.8734446227;554.795276272;110.067818704;4.36552788729;18.7827281326;0.1082;1.901
200;77.5361393589;207.3542951;110.015238801;5.22510003086;27.7921802539;0.1094;1.894
201;82.6014265786;358.422613968;109.907484824;4.62968569198;21.6848945014;0.1094;1.89633333333
202;86.4434625067;613.414049593;109.795420418;4.10132544246;16.9330145374;0.1094;1.89866666667
203;88.9637676251;993.200330828;109.680238041;3.65350503992;13.5130004067;0.1094;1.901
204;90.9705893311;1996.0;109.326523237;2.88730150305;9.52239854677;0.1094;1.908
205;76.2331798291;151.998694029;109.411514209;5.52239992367;27.2076897819;0.1126;1.887
206;80.0570018064;234.618955682;109.284415116;5.04821524483;23.0532234136;0.1126;1.88933333333
207;82.9703365995;361.323770763;109.154227251;4.58673094325;19.5018131417;0.1126;1.89166666667
208;85.0663230401;539.703278847;109.022809985;4.17984576601;16.7160403712;0.1126;1.894
209;78.5439301433;184.558494855;109.111749357;5.48865104038;26.224456954;0.113633333333;1.887
210;81.2132488954;270.098094677;108.976354725;5.06525142585;22.9189242649;0.113633333333;1.88933333333
211;83.3100845329;384.454488932;108.839559418;4.71012896398;20.1905671736;0.113633333333;1.89166666667
212;85.0695270481;517.316545398;108.702861014;4.51380221186;18.4631817223;0.113633333333;1.894
213;79.1769448073;196.571687404;108.811926871;5.72369205115;27.9431197537;0.114666666667;1.887
214;81.330961085;264.460542707;108.669792818;5.45798294796;25.089225974;0.114666666667;1.88933333333
215;83.4320784782;340.054676588;108.526844673;5.41138677916;23.3421778459;0.114666666667;1.89166666667
216;85.6260526391;400.647064875;108.384106723;5.76835217667;23.9998769299;0.114666666667;1.894
217;79.1418296521;176.063312633;108.512273581;6.48667772212;31.3160133968;0.1157;1.887
218;81.6735993909;216.564315271;108.362855455;6.64227700811;29.381311195;0.1157;1.88933333333
219;84.5363283914;246.157658703;108.211649284;7.34897803161;31.0414363202;0.1157;1.89166666667
220;87.5309496626;238.474198974;108.060059857;8.68241227019;37.2645840288;0.1157;1.894
221;90.970589331;1996.0;109.326523237;2.88730150309;9.52239854677;0.1094;1.908
222;56.7938181895;12.3600213218;111.425706984;10.0993909384;35.8276683731;0.1022;1.901
223;62.732625338;19.877768788;111.420160552;9.36540586911;36.5762882991;0.1022;1.90333333333
224;68.5348751452;32.7315343507;111.414597866;8.92666143467;38.9893291242;0.1022;1.90566666667
225;74.1504377439;50.4076444852;111.406565696;9.00181113129;42.8408413131;0.1022;1.908
226;62.4942120273;21.9248442838;111.257891224;9.1676944939;40.2741871573;0.1034;1.901
